NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ENSINO,TP_ESCOLA,TP_LOCALIZACAO_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q005,Q006,Q008,Q009,Q010,Q011,Q022,Q024,MEDIA_NOTAS,Q025
18,M,1,3,1,2,1,582.9,648.7,622.3,650,720,C,B,3,A,C,D,A,B,D,B,644.78,B
18,M,1,1,1,2,1,625.2,634.1,618.7,748.7,740,C,A,2,B,B,C,A,A,C,A,673.34,B
18,M,0,1,1,2,1,496.3,559.3,567.2,624.7,0,C,C,6,C,B,D,A,C,C,A,449.5,A
17,M,1,1,1,3,1,450.8,583.8,516.2,612.3,580,G,G,3,P,E,E,C,B,E,E,548.62,B
18,F,1,0,1,2,1,445.3,555.2,522.7,510.4,700,A,A,4,B,B,B,A,A,B,A,546.72,A
17,F,1,2,1,2,,503.7,492.1,514.9,470.7,680,A,C,5,B,C,C,A,A,C,B,532.28,B
18,M,1,3,1,2,1,443.8,486.6,511.2,463.9,600,B,C,4,B,B,B,A,B,C,A,501.1,A
17,F,1,3,1,2,1,576.4,548.3,628.3,699.4,820,E,B,6,D,B,D,A,A,D,A,654.48,B
18,M,1,3,1,3,1,581,614.2,590.8,668.9,740,D,F,3,F,B,C,B,A,C,B,638.98,B
19,M,1,3,1,2,1,394.3,436.2,531.8,480.3,740,C,C,4,B,B,C,A,A,C,A,516.52,B
17,F,1,3,1,2,,356.7,443.5,499,447.3,560,B,B,5,A,B,B,A,A,A,A,461.3,A
17,F,1,1,1,2,1,522.4,590.3,554.4,540.9,660,E,E,3,C,B,B,A,B,C,A,573.6,A
17,F,1,3,1,3,,431.5,529.9,447.3,530.6,620,H,F,4,C,B,C,B,B,C,A,511.86,A
16,F,1,4,1,2,1,384.1,452.8,514.2,495.5,700,C,G,3,C,C,C,B,B,C,A,509.32,B
17,F,1,3,1,2,1,462.7,349.5,383.1,449.1,680,C,C,4,C,B,C,A,B,C,B,464.88,B
21,M,1,3,1,2,,373.5,438.6,464.5,467.6,0,B,B,4,A,B,B,A,A,B,A,348.84,A
18,M,1,2,1,2,2,495.8,492.4,514.7,586.6,620,E,F,3,F,B,B,A,B,C,B,541.9,B
18,F,1,3,1,2,1,461.6,494.3,531.2,555.1,820,B,F,4,B,B,C,B,B,D,B,572.44,B
17,F,1,1,1,3,1,547.8,634.3,591.1,655.4,960,H,F,3,G,B,C,A,B,D,C,677.72,B
17,M,1,2,,2,,410.6,483.4,498.2,470.6,620,D,F,5,C,B,C,B,A,D,B,496.56,B
18,F,1,3,1,2,1,465.7,565,539.5,524.3,340,C,D,4,D,C,C,A,B,C,A,486.9,B
17,F,1,3,1,3,1,472.6,538.8,539.8,436.3,660,E,B,3,C,B,C,A,B,B,A,529.5,B
17,F,1,1,1,2,1,385.3,418.9,385.5,437.1,360,B,E,5,B,B,C,A,A,B,A,397.36,B
18,F,1,3,1,2,1,419.5,419.7,466.1,404.6,360,B,E,5,B,A,B,A,A,B,A,413.98,A
17,F,1,1,1,2,2,513.7,498,538.1,433.9,540,D,E,3,C,B,C,A,A,C,B,504.74,B
17,F,1,3,1,2,1,524,627.2,589.3,415,680,F,F,3,E,B,C,A,B,C,B,567.1,B
20,M,1,2,,2,1,391.5,458.4,413.9,398.6,220,A,A,4,B,B,C,A,A,B,A,376.48,A
17,F,1,1,1,2,,586.4,603.3,586.8,666.4,600,H,D,4,B,B,C,A,A,B,A,608.58,A
19,M,1,2,1,2,1,536.1,433.6,586.3,717.1,840,F,F,3,E,C,C,A,B,D,B,622.62,B
18,F,1,1,1,3,,506.5,564.6,550.2,485.6,780,E,D,4,G,C,D,B,B,D,B,577.38,B
19,M,1,2,1,2,1,417.8,514.8,443.6,439.8,400,D,C,4,B,C,D,A,A,C,B,443.2,B
19,M,1,1,1,2,1,402.2,497.6,560.8,459.8,620,E,G,3,I,B,C,B,C,D,B,508.08,B
23,F,1,1,1,2,1,353.1,434,484.5,368.3,480,D,D,3,B,B,C,A,A,A,A,423.98,A
19,M,1,3,1,2,1,545,593.6,577,633.4,900,D,E,5,C,B,D,A,A,D,A,649.8,B
19,M,1,3,1,2,1,408.2,423.1,404.2,434.4,280,H,H,5,A,C,D,A,B,E,A,389.98,B
17,F,1,3,1,2,1,469.1,518.4,557.4,470,680,C,E,5,B,B,C,A,A,B,A,538.98,A
18,M,1,1,1,2,1,517.5,578.5,581.4,606.7,660,B,B,3,B,B,C,A,A,D,B,588.82,B
17,F,1,1,1,2,1,514.1,567.4,524.9,500.8,700,B,B,5,C,B,C,B,A,C,A,561.44,B
21,F,1,3,1,2,1,432.7,546.1,493.4,449.1,660,D,E,4,D,B,C,B,A,C,B,516.26,B
18,F,1,3,1,2,1,412.3,524.6,512.9,401.7,560,C,B,3,B,B,C,A,A,C,A,482.3,A
17,F,1,3,1,2,1,429.7,535,565.9,470.5,500,C,E,4,B,C,D,A,B,E,B,500.22,B
18,M,1,3,1,3,1,472.8,612.2,582.6,421,740,D,E,4,C,C,C,A,A,E,B,565.72,B
19,M,1,3,1,2,,496.3,351.2,439.1,526.5,740,E,D,4,C,B,C,A,B,B,A,510.62,A
17,F,0,5,1,2,,478.7,560,578.1,402.9,580,F,E,4,B,B,C,A,A,C,A,519.94,A
18,F,1,3,1,2,1,409.9,424.6,451.1,398.4,0,B,E,2,A,B,C,A,A,C,A,336.8,A
18,M,1,1,1,3,1,618.7,599.4,615.3,654.9,780,A,D,4,C,B,C,A,A,B,A,653.66,A
19,F,1,3,1,2,1,460.9,535.1,542.5,527.3,680,C,F,3,B,B,C,A,A,C,A,549.16,A
19,M,1,1,1,2,2,505.7,560.4,521.3,473.1,480,F,F,6,B,B,D,B,A,C,B,508.1,B
17,F,1,1,1,3,1,513.6,548.4,588.5,626.7,720,D,F,5,D,C,C,B,B,C,A,599.44,B
